"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"BAP","Credicorp Ltd.","104.44","$8.33B","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bap",
"CS","Credit Suisse Group","22.28","$37.03B","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cs",
"CPG","Crescent Point Energy Corporation","13.18","$6.66B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cpg",
"CEQP","Crestwood Equity Partners LP","16.35","$1.12B","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ceqp",
"CRH","CRH PLC","29.37","$24.15B","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/crh",
"CRT","Cross Timbers Royalty Trust","15.16","$90.96M","1992","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crt",
"CAPL","CrossAmerica Partners LP","23.81","$791.9M","2012","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/capl",
"CCI","Crown Castle International Corporation","85.83","$28.65B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cci",
"CCI^A","Crown Castle International Corporation","106.94","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cci^a",
"CCK","Crown Holdings, Inc.","50.52","$7.04B","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/cck",
"CRY","CryoLife, Inc.","10.64","$302.76M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cry",
"CSRA","CSRA Inc.","30.76","$4.27B","2015","Technology","EDP Services","http://www.nasdaq.com/symbol/csra",
"CSS","CSS Industries, Inc.","29.26","$264.24M","n/a","Consumer Services","Consumer: Greeting Cards","http://www.nasdaq.com/symbol/css",
"CST","CST Brands, Inc.","37.07","$2.8B","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/cst",
"CSX","CSX Corporation","27.53","$26.84B","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/csx",
"CTS","CTS Corporation","19.18","$625.99M","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/cts",
"CUBE","CubeSmart","29.08","$5.02B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cube",
"CUBE^A","CubeSmart","26.15","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cube^a",
"CUB","Cubic Corporation","48.12","$1.3B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cub",
"CFR","Cullen/Frost Bankers, Inc.","68.06","$4.24B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cfr",
"CFR^A","Cullen/Frost Bankers, Inc.","25.4948","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cfr^a",
"CFI","Culp, Inc.","28.58","$352.64M","n/a","Basic Industries","Textiles","http://www.nasdaq.com/symbol/cfi",
"CMI","Cummins Inc.","94.85","$16.85B","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cmi",
"CW","Curtiss-Wright Corporation","70.49","$3.22B","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cw",
"SRF","Cushing Energy Income Fund (The)","10.62","$1.02M","2012","n/a","n/a","http://www.nasdaq.com/symbol/srf",
"SZC","Cushing Renaissance Fund (The)","15.7264","$95.21M","2012","n/a","n/a","http://www.nasdaq.com/symbol/szc",
"CUBI","Customers Bancorp, Inc","29.76","$800.02M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cubi",
"CUBI^C","Customers Bancorp, Inc","26.2042","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cubi^c",
"CUBS","Customers Bancorp, Inc","26.63","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cubs",
"CSI","Cutwater Select Income Fund","18.97","$203.14M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/csi",
"CVT","CVENT, INC.","35.97","$1.51B","1987","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cvt",
"CVI","CVR Energy Inc.","46.06","$4B","2007","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvi",
"UAN","CVR Partners, LP","8.5","$621.55M","2011","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/uan",
"CVRR","CVR Refining, LP","22.17","$3.27B","2013","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvrr",
"CVS","CVS Health Corporation","94.5","$104.64B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/cvs",
"CELP","Cypress Energy Partners, L.P.","10.01","$118.45M","2014","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/celp",
"CYS","CYS Investments, Inc.","7.38","$1.14B","2009","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cys",
"CYS^A","CYS Investments, Inc.","22.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cys^a",
"CYS^B","CYS Investments, Inc.","21.66","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cys^b",
"CYT","Cytec Industries Inc.","74.93","$5.36B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/cyt",
"DHI","D.R. Horton, Inc.","32.31","$11.91B","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/dhi",
"DAN","Dana Holding Corporation","16.04","$2.45B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dan",
"DHR","Danaher Corporation","95.98","$65.77B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dhr",
"DAC","Danaos Corporation","5.79","$635.64M","2006","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dac",
"DQ","DAQO New Energy Corp.","16.23","$145.15M","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/dq",
"DRI","Darden Restaurants, Inc.","56.3","$7.21B","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/dri",
"DAR","Darling Ingredients Inc.","10.9","$1.8B","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/dar",
"DVA","DaVita healthCare Partners Inc.","72.77","$15.35B","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/dva",
"DPM","DCP Midstream Partners, LP","24.08","$2.76B","2005","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/dpm",
"DCT","DCT Industrial Trust Inc","37.64","$3.32B","2006","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dct",
"DDR","DDR Corp.","16.93","$6.13B","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ddr",
"DDR^J","DDR Corp.","26.22","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ddr^j",
"DDR^K","DDR Corp.","25.505","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ddr^k",
"DF","Dean Foods Company","18.57","$1.7B","n/a","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/df",
"DECK","Deckers Outdoor Corporation","51.3","$1.66B","1993","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/deck",
"DE","Deere & Company","79.33","$26.03B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/de",
"DEX","Delaware Enhanced Global Dividend","9.62","$152.61M","2007","n/a","n/a","http://www.nasdaq.com/symbol/dex",
"DDF","Delaware Investments Dividend & Income Fund, Inc.","8.94","$80.17M","1993","n/a","n/a","http://www.nasdaq.com/symbol/ddf",
"DKL","Delek Logistics Partners, L.P.","37.32","$905.01M","2012","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/dkl",
"DK","Delek US Holdings, Inc.","28.11","$1.75B","2006","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/dk",
"DLPH","Delphi Automotive plc","86.64","$24.27B","2011","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dlph",
"DAL","Delta Air Lines, Inc.","48.33","$38.01B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/dal",
"DEL","Deltic Timber Corporation","64.12","$796.98M","n/a","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/del",
"DLX","Deluxe Corporation","59.6","$2.93B","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/dlx",
"DMD","Demand Media Inc.","6.03","$121.04M","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/dmd",
"DWRE","DEMANDWARE, INC.","50.63","$1.91B","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/dwre",
"DNR","Denbury Resources Inc.","3.39","$1.19B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dnr",
"DKT","Deutsch Bk Contingent Cap Tr V","27.67","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dkt",
"DB","Deutsche Bank AG","25.41","$35.03B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/db",
"DTK","Deutsche Bank AG","26.63","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dtk",
"DXB","Deutsche Bank AG","25.84","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dxb",
"DVN","Devon Energy Corporation","43.53","$17.89B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dvn",
"DV","DeVry Education Group Inc.","23.51","$1.49B","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/dv",
"DHX","DHI Group, Inc.","9.89","$520.82M","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/dhx",
"DHT","DHT Holdings, Inc.","7.72","$716.81M","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dht",
"DEO","Diageo plc","115.17","$72.39B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/deo",
"DO","Diamond Offshore Drilling, Inc.","21.88","$3B","1995","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/do",
"DRII","Diamond Resorts International, Inc.","29.14","$2.09B","2013","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/drii",
"DRH","Diamondrock Hospitality Company","10.99","$2.21B","2005","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/drh",
"DSX","Diana Shipping inc.","4.28","$353.3M","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsx",
"DSX^B","Diana Shipping inc.","12.86","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dsx^b",
"DSXN","Diana Shipping inc.","15.47","n/a","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsxn",
"DKS","Dick&#39;s Sporting Goods Inc","38.95","$4.48B","2002","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/dks",
"DBD","Diebold, Incorporated","34.9","$2.27B","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/dbd",
"DLR","Digital Realty Trust, Inc.","72.09","$10.55B","2004","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dlr",
"DLR^E","Digital Realty Trust, Inc.","25.98","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^e",
"DLR^F","Digital Realty Trust, Inc.","25.9","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^f",
"DLR^G","Digital Realty Trust, Inc.","24.97","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^g",
"DLR^H","Digital Realty Trust, Inc.","27.4491","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^h",
"DLR^I","Digital Realty Trust, Inc.","25.55","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^i",
"DGI","DigitalGlobe, Inc","16.58","$1.16B","2009","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/dgi",
"DDS","Dillard&#39;s, Inc.","73.19","$2.84B","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/dds",
"DDT","Dillard&#39;s, Inc.","26.54","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/ddt",
"DIN","DineEquity, Inc","85.26","$1.59B","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/din",
"DPLO","Diplomat Pharmacy, Inc.","35.56","$2.29B","2014","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/dplo",
"DFS","Discover Financial Services","56.01","$23.94B","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/dfs",
"DFS^B","Discover Financial Services","26.16","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dfs^b",
"DRA","Diversified Real Asset Income Fund","16.23","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dra",
"DNI","Dividend and Income Fund","11.69","$100.65M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dni",
"DLB","Dolby Laboratories","35.19","$3.55B","2005","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/dlb",
"DG","Dollar General Corporation","65.35","$19.26B","2009","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/dg",
"DDC","Dominion Diamond Corporation","8.34","$711.24M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ddc",
"DM","Dominion Midstream Partners, LP","30.12","$2.34B","2014","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/dm",
"DOM","Dominion Resources Black Warrior Trust","0.4946","$3.88M","1994","Energy","Coal Mining","http://www.nasdaq.com/symbol/dom",
"D","Dominion Resources, Inc.","66.14","$39.38B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/d",
"DCUA","Dominion Resources, Inc.","53","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dcua",
"DCUB","Dominion Resources, Inc.","53.6","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dcub",
"DCUC","Dominion Resources, Inc.","48.2","$28.7B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dcuc",
"DPZ","Domino&#39;s Pizza Inc","108.8","$5.95B","2004","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dpz",
"UFS","Domtar Corporation","40.76","$2.65B","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/ufs",
"DCI","Donaldson Company, Inc.","30.11","$3.99B","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/dci",
"LPG","Dorian LPG Ltd.","12.87","$741.05M","2014","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/lpg",
"DSL","DoubleLine Income Solutions Fund","16.96","n/a","2013","n/a","n/a","http://www.nasdaq.com/symbol/dsl",
"DBL","DoubleLine Opportunistic Credit Fund","25","$367.95M","2012","n/a","n/a","http://www.nasdaq.com/symbol/dbl",
"PLOW","Douglas Dynamics, Inc.","23.33","$522.31M","2010","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/plow",
"DEI","Douglas Emmett, Inc.","30.58","$4.49B","2006","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dei",
"DOV","Dover Corporation","65.05","$10.08B","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dov",
"DDE","Dover Downs Gaming & Entertainment Inc","1.0634","$34.95M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/dde",
"DVD","Dover Motorsports, Inc.","2.304","$84.63M","1996","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/dvd",
"DOW","Dow Chemical Company (The)","52.29","$60.58B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dow",
"DPS","Dr Pepper Snapple Group, Inc","90.85","$17.16B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/dps",
"RDY","Dr. Reddy&#39;s Laboratories Ltd","48.22","$8.23B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rdy",
"DRD","DRDGOLD Limited","1.43","$60.74M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/drd",
"DW","Drew Industries Incorporated","60.73","$1.47B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dw",
"DHF","Dreyfus High Yield Strategies Fund","3.15","$228.68M","1998","n/a","n/a","http://www.nasdaq.com/symbol/dhf",
"DMB","Dreyfus Municipal Bond Infrastructure Fund, Inc.","12.25","$225.18M","2013","n/a","n/a","http://www.nasdaq.com/symbol/dmb",
"DSM","Dreyfus Strategic Municipal Bond Fund, Inc.","7.96","$492.32M","1989","n/a","n/a","http://www.nasdaq.com/symbol/dsm",
"LEO","Dreyfus Strategic Municipals, Inc.","8.44","$522.01M","1987","n/a","n/a","http://www.nasdaq.com/symbol/leo",
"DRQ","Dril-Quip, Inc.","61.73","$2.37B","1997","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/drq",
"DST","DST Systems, Inc.","121.33","$4.2B","1995","Technology","EDP Services","http://www.nasdaq.com/symbol/dst",
"DSW","DSW Inc.","22.95","$2.04B","2005","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/dsw",
"DTE","DTE Energy Company","78.68","$14.12B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dte",
"DTQ","DTE Energy Company","24.56","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dtq",
"DTZ","DTE Energy Company","26.23","n/a","2011","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dtz",
"DCO","Ducommun Incorporated","16.44","$182.21M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/dco",
"DPG","Duff & Phelps Global Utility Income Fund Inc.","15.01","$569.33M","2011","n/a","n/a","http://www.nasdaq.com/symbol/dpg",
"DSE","Duff & Phelps Select Energy MLP Fund Inc.","6.9","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/dse",
"DNP","Duff & Phelps Utilities Income, Inc.","9.28","$2.55B","1987","n/a","n/a","http://www.nasdaq.com/symbol/dnp",
"DTF","Duff & Phelps Utilities Tax-Free Income, Inc.","14.9","$126.93M","1991","n/a","n/a","http://www.nasdaq.com/symbol/dtf",
"DUC","Duff & Phelps Utility & Corporate Bond Trust, Inc.","9.36","$257.35M","1993","n/a","n/a","http://www.nasdaq.com/symbol/duc",
"DUK","Duke Energy Corporation","66.13","$45.52B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/duk",
"DUKH","Duke Energy Corporation","25.49","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/dukh",
"DRE","Duke Realty Corporation","20.51","$7.08B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dre",
"DNB","Dun & Bradstreet Corporation (The)","106.15","$3.84B","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/dnb",
"DFT","Dupont Fabros Technology, Inc.","32.51","$2.13B","2007","Finance","Real Estate","http://www.nasdaq.com/symbol/dft",
